cut,ntr,nte,model,depth,n,units,roi,hit,be,edge_pp
2026-06-30,792,336,D_refit_outcome,0.5,168,-3.01359679872037,-1.7938076182859346,50.595238095238095,51.241674112138945,-0.6464360169008501
2026-06-30,792,336,E_outcome+price,0.05,17,3.504761904761905,20.61624649859944,58.82352941176471,48.716492305277065,10.107037106487645
2026-06-30,792,336,E_outcome+price,0.1,34,2.0155040611562347,5.927953121047749,52.94117647058824,49.82748355758044,3.113692913007796
2026-06-30,792,336,E_outcome+price,0.2,67,3.7281909716692327,5.56446413681975,53.73134328358209,50.46792646478562,3.263416818796472
2026-06-30,792,336,E_outcome+price,0.3,101,4.36776249182546,4.324517318639069,53.46534653465347,50.825251896568105,2.6400946380853654
2026-06-30,792,336,E_outcome+price,0.5,168,-0.47623788077673757,-0.28347492903377236,51.78571428571429,51.57903680367608,0.20667748203820935
2026-06-30,792,336,F_payout_weighted,0.05,17,-0.09761904761904772,-0.5742296918767512,47.05882352941176,45.88869421592754,1.1701293134842174
2026-06-30,792,336,F_payout_weighted,0.1,34,0.7743271221532091,2.2774327122153206,50.0,48.077809454899146,1.9221905451008539
2026-06-30,792,336,F_payout_weighted,0.2,67,-2.243685300207039,-3.34878403015976,47.76119402985074,48.97907415995233,-1.217880130101591
2026-06-30,792,336,F_payout_weighted,0.3,101,-4.298865305387045,-4.25630228256143,48.51485148514851,49.94943251512251,-1.434581029973998
2026-06-30,792,336,F_payout_weighted,0.5,168,-2.194570827029597,-1.3062921589461887,50.595238095238095,50.57161940782794,0.02361868741015627
2026-06-30,792,336,G_ridge_PROFIT,0.05,17,-5.375672877846791,-31.62160516380465,35.294117647058826,50.85007739323577,-15.555959746176946
2026-06-30,792,336,G_ridge_PROFIT,0.1,34,3.1699625461994274,9.323419253527728,55.88235294117647,51.14432103687238,4.738031904304094
2026-06-30,792,336,G_ridge_PROFIT,0.2,67,6.451011127248009,9.628374816788073,56.71641791044776,51.712335667447604,5.0040822430001555
2026-06-30,792,336,G_ridge_PROFIT,0.3,101,5.5440593132835705,5.489167636914426,54.45544554455446,51.275636264576285,3.1798092799781728
2026-06-30,792,336,G_ridge_PROFIT,0.5,168,2.0453016310853513,1.217441447074614,52.976190476190474,51.951915406338365,1.0242750698521093
2026-06-30,792,336,H_ridge_PROFIT+price,0.05,17,-3.1452380952380956,-18.50140056022409,41.17647058823529,50.36135098945817,-9.184880401222877
