rid,date,away,home,gn,y_nrfi,nrfi_odds,yrfi_odds,pay_n,pay_y,imp_n,imp_y,vig,dev_n,dev_y,p_raw,p_live,lam,park
1100,2026-06-22,BOS,COL,1,1,115.0,-145.0,1.15,0.6896551724137931,0.46511627906976744,0.5918367346938775,1.056953013763645,0.4400538841490795,0.5599461158509206,0.4031156372406412,0.4064,0.9086,1.22
1101,2026-06-22,TEX,MIA,1,1,-120.0,-110.0,0.8333333333333334,0.9090909090909091,0.5454545454545454,0.5238095238095238,1.0692640692640691,0.5101214574898786,0.48987854251012153,0.41050680107659526,0.4064,0.8902,0.95
1102,2026-06-22,CLE,CWS,1,1,-150.0,115.0,0.6666666666666666,1.15,0.6,0.46511627906976744,1.0651162790697675,0.5633187772925764,0.43668122270742354,0.4316874316013245,0.4118,0.8389,0.98
1103,2026-06-22,KC,TB,1,1,-135.0,105.0,0.7407407407407407,1.05,0.574468085106383,0.4878048780487805,1.0622729631551635,0.5407914020517831,0.4592085979482169,0.44928235797126576,0.4384,0.7998,0.93
1105,2026-06-22,BAL,LAA,1,0,-110.0,-115.0,0.9090909090909091,0.8695652173913043,0.5238095238095238,0.5348837209302325,1.0586932447397563,0.4947698744769875,0.5052301255230125,0.45582435190539317,0.4397,0.7866,0.99
1106,2026-06-22,NYY,DET,1,1,-115.0,-115.0,0.8695652173913043,0.8695652173913043,0.5348837209302325,0.5348837209302325,1.069767441860465,0.5,0.5,0.4946528409946696,0.479,0.7044,0.98
1107,2026-06-22,LAD,MIN,1,0,100.0,-130.0,1.0,0.7692307692307693,0.5,0.5652173913043478,1.0652173913043477,0.4693877551020409,0.5306122448979592,0.5122037797164882,0.5236,0.6688,0.97
1108,2026-06-22,ARI,STL,1,1,-110.0,-120.0,0.9090909090909091,0.8333333333333334,0.5238095238095238,0.5454545454545454,1.0692640692640691,0.48987854251012153,0.5101214574898786,0.46524037440985183,0.4756,0.7651,0.97
1109,2026-06-22,ATL,SD,1,1,-130.0,100.0,0.7692307692307693,1.0,0.5652173913043478,0.5,1.0652173913043477,0.5306122448979592,0.4693877551020409,0.5326367150673891,0.5479,0.6295,0.95
1110,2026-06-22,PHI,WSH,1,0,-105.0,-125.0,0.9523809523809523,0.8,0.5121951219512195,0.5555555555555556,1.067750677506775,0.4796954314720812,0.5203045685279188,0.39692936044308075,0.4064,0.9249,0.97
