season,date,game_pk,away,home,event_id,commence_time,snapshot_ts,book,over_price,under_price,n_books_0_5,cons_over_devig,fanduel_over_devig,nrfi_prob,fi_total_runs
2024,2024-05-01,745423,CIN,SD,6ec5e0fd3f9451597597f20a4d5d22c4,2024-05-01T20:10:00Z,2024-05-01T19:05:39Z,betrivers,108,-136,3,0.456287,,0.4358,1
2024,2024-05-03,745101,NYM,TB,d03a24a144444d11aa3d15d9d32f8d63,2024-05-03T22:50:00Z,2024-05-03T21:45:39Z,superbook,-125,-105,1,0.520305,,0.42,0
2024,2024-05-03,745665,MIA,OAK,372a74efa17f9cbb0fd06a7bcd5fda74,2024-05-04T01:40:00Z,2024-05-04T00:35:40Z,betrivers,108,-136,3,0.463116,,0.4176,0
2024,2024-05-03,746152,ATL,LAD,9cd4bb742369669fe5d9ad6247bae310,2024-05-04T02:10:00Z,2024-05-04T01:05:40Z,betrivers,-125,100,3,0.520918,,0.4388,1
2024,2024-05-04,745100,NYM,TB,8d4ff01dca86219feab3b571bcd4ad10,2024-05-04T23:15:00Z,2024-05-04T22:10:38Z,betrivers,100,-124,3,0.469454,,0.4452,2
2024,2024-05-04,745666,MIA,OAK,28376623ad95b9cc4b68ba477da7767e,2024-05-04T20:07:00Z,2024-05-04T19:05:38Z,betrivers,117,-148,3,0.436047,,0.4232,0
2024,2024-05-04,746155,ATL,LAD,043d2796bceea093479f39ad300086fa,2024-05-05T01:10:00Z,2024-05-05T00:05:39Z,betrivers,-112,-113,3,0.495929,,0.4327,0
2024,2024-05-06,745098,CWS,TB,b81460671eafea8d6133d6e4367eaf2a,2024-05-06T22:50:00Z,2024-05-06T21:45:38Z,superbook,-105,-125,1,0.479695,,0.4384,0
2024,2024-05-07,745586,TOR,PHI,bd0716c76668bea748b292c3b1e29ebd,2024-05-07T22:40:00Z,2024-05-07T21:35:39Z,superbook,100,-130,1,0.469388,,0.4323,1
2024,2024-05-07,745668,TEX,OAK,616ae5495d17da97eed51d4be19401fa,2024-05-07T19:37:00Z,2024-05-07T18:35:38Z,superbook,-105,-125,1,0.479695,,0.4152,1
2024,2024-05-07,746147,MIA,LAD,dea5eb10e844e64160bba440b2fc3d9a,2024-05-08T02:10:00Z,2024-05-08T01:05:39Z,superbook,100,-130,1,0.469388,,0.4205,5
2024,2024-05-07,746315,MIL,KC,6c3c34a8b12c727a10efdd3b3f7d2f0c,2024-05-07T23:40:00Z,2024-05-07T22:35:39Z,superbook,-125,-105,1,0.520305,,0.4451,0
2024,2024-05-07,746718,ARI,CIN,0c256ee8615c7a388fda3fe5c8c011bd,2024-05-07T22:40:00Z,2024-05-07T21:35:39Z,superbook,-115,-115,1,0.500000,,0.4188,0
2024,2024-05-08,746151,MIA,LAD,a26927981ad17987afa07ef2e4c59160,2024-05-08T19:11:00Z,2024-05-08T18:10:39Z,betrivers,-136,106,3,0.545372,,0.4396,1
2024,2024-05-09,745748,HOU,NYY,e110e66cccb0c94f933832ba0c61349c,2024-05-09T21:05:00Z,2024-05-09T20:00:38Z,superbook,-120,-110,1,0.510121,,0.4308,3
2024,2024-05-10,745094,NYY,TB,155349408533b244908eb1d2c5624ced,2024-05-10T22:50:00Z,2024-05-10T21:45:39Z,betrivers,-109,-114,3,0.489697,,0.4184,0
2024,2024-05-10,745340,CIN,SF,ea3186bcbeca6404f3fc5994fee9367c,2024-05-11T02:15:00Z,2024-05-11T01:10:38Z,betrivers,130,-162,3,0.420799,,0.4162,2
2024,2024-05-10,746240,KC,LAA,91f90c8b6d102372de12a87a24880339,2024-05-11T01:38:00Z,2024-05-11T00:35:39Z,betrivers,-117,-107,3,0.507027,,0.4186,0
2024,2024-05-10,746479,HOU,DET,eb66a5b54572b91ba201a50b17a0336e,2024-05-10T22:40:00Z,2024-05-10T21:35:38Z,betrivers,104,-129,3,0.470096,,0.4401,0
2024,2024-05-10,746801,CLE,CWS,fa72a34b3dd073d2b6a235a1d69a539c,2024-05-10T23:40:00Z,2024-05-10T22:35:39Z,betrivers,100,-124,3,0.476283,,0.4496,0
