season,date,game_pk,away,home,p_nrfi,fi_total_runs
2025,2025-05-02,778086,ARI,PHI,0.355932,1
2025,2025-05-02,778088,TB,NYY,0.4121,0
2025,2025-05-02,778089,MIN,BOS,0.402004,1
2025,2025-05-02,778091,OAK,MIA,0.355932,0
2025,2025-05-02,778092,LAD,ATL,0.355932,0
2025,2025-05-04,778060,LAD,ATL,0.355932,2
2025,2025-05-05,778047,LAD,MIA,0.355932,1
2025,2025-05-06,778035,LAD,MIA,0.401007,1
2025,2025-05-07,778014,NYM,ARI,0.404476,0
2025,2025-05-11,777955,SD,COL,0.369179,4
2025,2025-05-13,777937,OAK,LAD,0.355932,0
2025,2025-05-15,777909,WSH,ATL,0.355932,0
2025,2025-05-15,777946,OAK,LAD,0.355932,4
2025,2025-05-19,777852,PHI,COL,0.355932,1
2025,2025-05-19,777854,ARI,LAD,0.355932,2
2025,2025-05-19,777863,CHC,MIA,0.355932,2
2025,2025-05-20,777842,PHI,COL,0.355932,3
2025,2025-05-21,777823,PHI,COL,0.355932,3
2025,2025-05-21,777824,ARI,LAD,0.355932,0
2025,2025-05-22,777817,PHI,COL,0.355932,0
2025,2025-05-23,777802,NYY,COL,0.355932,1
2025,2025-05-25,777768,NYY,COL,0.355932,3
2025,2025-05-30,777708,NYY,LAD,0.355932,2
2025,2025-05-31,777698,NYY,LAD,0.358586,4
2025,2025-06-01,777682,NYY,LAD,0.410554,1
2025,2025-06-01,777692,BOS,ATL,0.407689,4
2025,2025-06-02,777675,NYM,LAD,0.355932,1
2025,2025-06-03,777657,NYM,LAD,0.383131,5
2025,2025-06-03,777672,ARI,ATL,0.36392,1
2025,2025-06-04,777638,NYM,LAD,0.384132,3
2025,2025-06-04,777649,LAA,BOS,0.373813,9
2025,2025-06-04,777652,COL,MIA,0.408052,1
2025,2025-06-05,777631,NYM,LAD,0.386501,0
2025,2025-06-08,777583,NYM,COL,0.356596,0
2025,2025-06-08,777594,CHC,DET,0.401572,2
2025,2025-06-10,777563,SF,COL,0.409157,1
2025,2025-06-12,777534,SF,COL,0.355932,0
2025,2025-06-13,777522,SF,LAD,0.360447,1
2025,2025-06-13,777535,COL,ATL,0.355932,3
2025,2025-06-13,777537,NYY,BOS,0.382054,0
2025,2025-06-15,777498,SF,LAD,0.355932,1
2025,2025-06-16,777490,SD,LAD,0.389329,1
2025,2025-06-17,777471,SD,LAD,0.375382,1
2025,2025-06-18,777457,SD,LAD,0.383952,0
2025,2025-06-20,777430,ARI,COL,0.355932,1
