game_pk,home_K20_all,home_K40_all,home_K65_all,home_K100_all,home_K65_pw0,home_K65_pw6,home_K65_hl15,home_K65_hl30,home_K65_win20,home_shipped_like,away_K20_all,away_K40_all,away_K65_all,away_K100_all,away_K65_pw0,away_K65_pw6,away_K65_hl15,away_K65_hl30,away_K65_win20,away_shipped_like
776645,0.7459079957165804,0.7345046908100474,0.7292848681415641,0.72611357965241,0.7292848681415641,0.7292848681415641,0.7292288751580213,0.7292609095083029,0.7292848681415641,0.8333333333333334,0.7330289470776711,0.7265174579820045,0.7239276611825917,0.7224558360708462,0.7239276611825917,0.7239276611825917,0.7239276611825917,0.7239276611825917,0.7239276611825917,1.0
776646,0.7255316539608884,0.7234039232229488,0.7222403204756381,0.7214612125491779,0.7222403204756381,0.7222403204756381,0.724621742201241,0.7236565874110455,0.7222403204756381,0.8,0.723823048701039,0.7217671408749922,0.7209682333545337,0.7205188379178012,0.7196803944315546,0.7222442932629735,0.7209682333545337,0.7209682333545337,0.7239276611825917,1.0
776647,0.7186891599372642,0.718958151658917,0.7191410905577613,0.7192822695823147,0.7086580626450117,0.7279257508198421,0.7021911828904907,0.7085018895062818,0.69152030162413,0.5,0.7121450279402635,0.714307256488697,0.7157257195147947,0.71679290241446,0.7183630888145471,0.7135321628438207,0.7232387410323426,0.7200813256881187,0.7268144192711888,0.7
776648,0.6960407060412934,0.703986819785919,0.7086298892077048,0.7118664388548573,0.7222403204756381,0.6963957936859668,0.7125190930584224,0.7110491068535586,0.69152030162413,0.6,0.75624382124483,0.7392375762153996,0.7320474358536919,0.7278450431374317,0.7320474358536919,0.7320474358536919,0.7315206006727698,0.7317792212769617,0.7320474358536919,1.0
776649,0.7406092158154545,0.7345075186189823,0.7305472824578104,0.7275897312842572,0.7445888004373685,0.7183555452899306,0.7304908046398843,0.731279505247437,0.7385791251535417,0.8,0.7797869296210364,0.7557443155452437,0.7437230085073474,0.7360730858468678,0.7437230085073474,0.7437230085073474,0.7374005104524622,0.7403733532382569,0.7437230085073474,0.9
776650,0.7050091851882133,0.7089410592835509,0.7116353404783982,0.7137259105228991,0.6975431101294273,0.7232498160407367,0.6980489047361395,0.7022835284722931,0.6915162342546877,0.5,0.7379805434895947,0.7314311810832361,0.7277982683763714,0.7253451903052823,0.7151954917133585,0.7376528624630887,0.7180984898221315,0.7217018574572824,0.7150456460193936,0.6
776651,0.7309667002505877,0.7274923541931214,0.7253208879072051,0.7237400604510579,0.7133195050820796,0.7351402011277622,0.719495569712924,0.7211197855626165,0.7268103519017465,0.7,0.6781421823260959,0.6919634446348235,0.7001043467878785,0.7058077232005182,0.6961310832728729,0.7038862375189042,0.7028630163213908,0.701496214299689,0.7032809401370406,0.6
776652,0.6574742433009815,0.6743163233174507,0.6858284701565026,0.6947450264796461,0.6866974120726745,0.6851083525464153,0.6907481807012106,0.6883162347193313,0.6917972598416553,0.5,0.7355547812240351,0.731019047112377,0.728081018057181,0.7258898524627451,0.7250314441652352,0.7307972377180233,0.7292882052441007,0.7286056631059491,0.7270913774887142,0.8
776653,0.6439513674635374,0.6763812210396766,0.6914767072754316,0.7007264063391024,0.6924475349514269,0.6905763428985007,0.6924996267489223,0.6919739523433496,0.6894728193801084,0.5,0.712760935272889,0.7159768144779743,0.7173364692889478,0.7181311413240993,0.7173364692889478,0.7173364692889478,0.7174461098968471,0.717389748389197,0.7173364692889478,0.6666666666666666
776654,0.746671922227389,0.7362885196644787,0.7308945443071228,0.7273884603248414,0.7173364692889478,0.7416148826935867,0.7237962138393896,0.7265685699895384,0.7385750577840995,0.7,0.7098375377819112,0.7131167170425482,0.7150456460193936,0.7163958963031852,0.7150456460193936,0.7150456460193936,0.7207434216045443,0.7183192502225537,0.7150456460193936,0.8
776655,0.699796922227389,0.7074423658183249,0.7114140248266033,0.7139956031819842,0.7114140248266033,0.7114140248266033,0.7108468433802954,0.7111118557061735,0.7114140248266033,0.7,0.7843654427414019,0.7562391961424543,0.7433645057978655,0.7355425241168135,0.7433645057978655,0.7433645057978655,0.7410376859216921,0.7421575699708258,0.7433645057978655,1.0
776656,0.7992368696148792,0.777022479978774,0.7622301878145452,0.750984440641405,0.767847897546445,0.757601961046787,0.7476615371243848,0.7546806870285704,0.762385495135773,0.8,0.7346173320199832,0.7299309135448004,0.7270959528273017,0.7250757533241938,0.7302647335644268,0.7240132023364332,0.7280701239219866,0.7276915366482284,0.7270913774887142,0.7
776657,0.8070657099846703,0.7810565925975134,0.764413014226122,0.7521030468269043,0.7621044695488054,0.7663871218475699,0.7498198027789555,0.7560913370250558,0.7621044695488054,0.8,0.770430239221347,0.7563900832994868,0.7469566280744959,0.7397392861404553,0.747487271723278,0.7465185732800041,0.7348411044658414,0.739982043063594,0.7385750577840995,0.8
